target,horizon,fold,family,zone_id,n,mae,mase,sat_wmae,bias
occupancy,1,0,last_observation,1135,336,0.324405,0.239886,0.32636,-0.00892857
occupancy,1,0,last_observation,1137,336,2.16071,0.417559,2.1895,-0.0178571
occupancy,1,0,last_observation,1138,336,0.276786,0.274098,0.278724,0.00297619
occupancy,1,0,last_observation,1143,336,0.47619,0.352606,0.490259,0
occupancy,1,0,last_observation,1144,336,1.34821,0.421269,1.37359,-0.00892857
occupancy,1,0,last_observation,1149,336,1.18452,0.381667,1.18917,0.0119048
occupancy,1,0,last_observation,1154,336,0.345238,0.241607,0.355938,-0.00595238
occupancy,1,0,last_observation,1156,336,0.4375,0.253551,0.433545,0.014881
occupancy,1,0,last_observation,1159,336,1.51488,0.339973,1.4822,0.0327381
occupancy,1,0,last_observation,1162,336,0.708333,0.336732,0.744089,0
occupancy,1,0,last_observation,1163,336,0.318452,0.235165,0.322946,-0.00297619
occupancy,1,0,last_observation,1164,336,1.64881,0.355651,1.61691,-0.0238095
occupancy,1,0,last_observation,1166,336,1.45536,0.385951,1.41969,-0.00297619
occupancy,1,0,last_observation,1167,336,12.5625,0.643867,12.7405,-0.00297619
occupancy,1,0,last_observation,1168,336,0.97619,0.32923,0.965319,-0.0238095
occupancy,1,0,last_observation,1172,336,0.41369,0.385136,0.479339,-0.00297619
occupancy,1,0,last_observation,1173,336,0.9375,0.377778,0.915739,0.014881
occupancy,1,0,seasonal_naive_daily,102,336,2.29464,0.978536,2.34497,-0.175595
occupancy,1,0,seasonal_naive_daily,104,336,0.895833,1.07185,0.917668,-0.0327381
occupancy,1,0,seasonal_naive_daily,105,336,2.76786,0.917559,2.79199,-0.255952
occupancy,1,0,seasonal_naive_daily,106,336,6.42857,1.06772,6.67259,-0.565476
occupancy,1,0,seasonal_naive_daily,107,336,2.63988,0.799014,2.62923,0.119048
occupancy,1,0,seasonal_naive_daily,108,336,2.5625,0.900323,2.62002,-0.229167
occupancy,1,0,seasonal_naive_daily,109,336,1.91667,0.851388,1.92327,0.0714286
occupancy,1,0,seasonal_naive_daily,110,336,2.81845,1.30637,2.84195,-0.151786
occupancy,1,0,seasonal_naive_daily,111,336,2.14583,0.844262,2.13887,-0.122024
occupancy,1,0,seasonal_naive_daily,115,336,1.08631,1.1129,1.1055,0.0625
occupancy,1,0,seasonal_naive_daily,123,336,1.46131,0.895889,1.47192,-0.0119048
occupancy,1,0,seasonal_naive_daily,124,336,3.01488,1.09803,3.08279,-0.35119
occupancy,1,0,seasonal_naive_daily,202,336,1.71429,0.729521,1.71881,-0.142857
occupancy,1,0,seasonal_naive_daily,204,336,1.72917,0.722663,1.76365,0.0744048
occupancy,1,0,seasonal_naive_daily,205,336,1.75595,1.22624,1.76918,0.119048
occupancy,1,0,seasonal_naive_daily,206,336,5.95536,1.00425,6.50524,-0.348214
occupancy,1,0,seasonal_naive_daily,208,336,1.55357,1.09616,1.58006,0.160714
occupancy,1,0,seasonal_naive_daily,212,336,1.29167,1.24882,1.31906,-0.0654762
occupancy,1,0,seasonal_naive_daily,213,336,3.00298,1.12586,3.00942,-0.282738
occupancy,1,0,seasonal_naive_daily,214,336,0.895833,1.79828,0.9838,-0.110119
occupancy,1,0,seasonal_naive_daily,215,336,2.65476,1.10864,2.80495,0.00595238
occupancy,1,0,seasonal_naive_daily,216,336,2.23214,1.38406,2.29901,0.0416667
occupancy,1,0,seasonal_naive_daily,217,336,7.36607,0.834126,8.32154,0.145833
occupancy,1,0,seasonal_naive_daily,223,336,6.13393,0.964038,6.13178,-0.127976
occupancy,1,0,seasonal_naive_daily,224,336,3.65179,0.738685,3.68157,0.294643
occupancy,1,0,seasonal_naive_daily,225,336,0.910714,0.724664,0.913955,0.0595238
occupancy,1,0,seasonal_naive_daily,226,336,4.50298,0.970915,4.65737,0.0535714
occupancy,1,0,seasonal_naive_daily,227,336,4.46726,1.08555,4.42065,0.122024
occupancy,1,0,seasonal_naive_daily,235,336,3.59821,1.14225,3.69009,0.255952
occupancy,1,0,seasonal_naive_daily,307,336,5.26786,0.773124,5.20653,-0.125
occupancy,1,0,seasonal_naive_daily,309,336,6.33929,0.977025,6.66219,-0.214286
occupancy,1,0,seasonal_naive_daily,310,336,1.25893,0.947244,1.30268,0.282738
occupancy,1,0,seasonal_naive_daily,311,336,6.42857,1.19656,7.31684,-0.199405
occupancy,1,0,seasonal_naive_daily,316,336,1,1.09973,1.00084,-0.0297619
occupancy,1,0,seasonal_naive_daily,320,336,1.86012,1.16133,1.87663,-0.0744048
occupancy,1,0,seasonal_naive_daily,321,336,5.08631,1.13137,5.773,-0.0327381
occupancy,1,0,seasonal_naive_daily,322,336,2.34524,1.24794,2.52642,0.047619
occupancy,1,0,seasonal_naive_daily,323,336,5.15179,1.04366,6.2022,0.0565476
occupancy,1,0,seasonal_naive_daily,324,336,3.03571,1.04213,3.18277,0.244048
occupancy,1,0,seasonal_naive_daily,325,336,3.39286,1.02768,3.56393,0.14881
occupancy,1,0,seasonal_naive_daily,326,336,5.9256,0.789821,6.40384,-0.139881
occupancy,1,0,seasonal_naive_daily,328,336,3.3125,0.650229,3.45785,-0.110119
occupancy,1,0,seasonal_naive_daily,329,336,6.83929,0.717518,6.84401,-0.125
occupancy,1,0,seasonal_naive_daily,330,336,2.80655,1.04335,2.78425,-0.205357
occupancy,1,0,seasonal_naive_daily,331,336,3.26488,0.928758,3.28601,-0.181548
occupancy,1,0,seasonal_naive_daily,332,336,6.5119,0.893286,6.75384,-0.142857
occupancy,1,0,seasonal_naive_daily,333,336,1.64583,0.777199,1.65914,-0.0803571
occupancy,1,0,seasonal_naive_daily,335,336,8.15476,0.866782,8.11564,-0.220238
occupancy,1,0,seasonal_naive_daily,340,336,3.01339,1.84466,3.06399,-0.150298
occupancy,1,0,seasonal_naive_daily,343,336,2.38095,0.857584,2.76849,0.244048
occupancy,1,0,seasonal_naive_daily,346,336,6.91964,1.29446,7.60448,-0.276786
occupancy,1,0,seasonal_naive_daily,347,336,1.375,0.84488,1.3872,0.0892857
occupancy,1,0,seasonal_naive_daily,348,336,1.28571,0.864559,1.31134,-0.0119048
occupancy,1,0,seasonal_naive_daily,406,336,1.50893,1.17154,1.49214,-0.0803571
occupancy,1,0,seasonal_naive_daily,408,336,3.6756,1.46128,3.74528,0.235119
occupancy,1,0,seasonal_naive_daily,501,336,3.16667,0.688883,3.20275,-0.27381
occupancy,1,0,seasonal_naive_daily,502,336,4.3125,0.922895,4.28986,0.776786
occupancy,1,0,seasonal_naive_daily,506,336,5.53571,0.935808,5.64859,-0.175595
occupancy,1,0,seasonal_naive_daily,508,336,3.31845,1.07861,3.41355,0.00892857
occupancy,1,0,seasonal_naive_daily,511,336,1.08631,0.918103,1.08538,-0.014881
occupancy,1,0,seasonal_naive_daily,512,336,4.21726,0.921732,4.24651,-0.190476
occupancy,1,0,seasonal_naive_daily,513,336,7.21429,0.65808,7.56542,0.178571
occupancy,1,0,seasonal_naive_daily,516,336,3.8125,0.811848,3.98856,-0.00297619
occupancy,1,0,seasonal_naive_daily,519,336,20.0685,1.04785,21.4646,0.0744048
occupancy,1,0,seasonal_naive_daily,520,336,7.00595,1.92422,7.36833,0.0208333
occupancy,1,0,seasonal_naive_daily,522,336,6.10119,0.800864,5.86431,-0.0654762
occupancy,1,0,seasonal_naive_daily,525,336,4.06845,0.883293,4.12323,-0.0386905
occupancy,1,0,seasonal_naive_daily,526,336,10.6637,0.837858,11.034,0.764881
