target,horizon,fold,family,hour_of_day,n,mae,mase
occupancy,1,1,seasonal_naive_daily,3,3850,3.03455,0.874802
occupancy,1,1,seasonal_naive_daily,4,3850,2.93532,0.849213
occupancy,1,1,seasonal_naive_daily,5,3850,3.03532,0.865471
occupancy,1,1,seasonal_naive_daily,6,3850,3.05117,0.867324
occupancy,1,1,seasonal_naive_daily,7,3850,3.26961,0.89656
occupancy,1,1,seasonal_naive_daily,8,3850,3.8387,0.985948
occupancy,1,1,seasonal_naive_daily,9,3850,3.94,1.04049
occupancy,1,1,seasonal_naive_daily,10,3850,4.03091,1.09043
occupancy,1,1,seasonal_naive_daily,11,3850,3.84416,1.03799
occupancy,1,1,seasonal_naive_daily,12,3850,3.86623,1.04866
occupancy,1,1,seasonal_naive_daily,13,3850,4.02104,1.05573
occupancy,1,1,seasonal_naive_daily,14,3850,3.86104,1.03045
occupancy,1,1,seasonal_naive_daily,15,3850,3.7313,1.00373
occupancy,1,1,seasonal_naive_daily,16,3850,3.83481,1.00466
occupancy,1,1,seasonal_naive_daily,17,3850,3.57974,0.970266
occupancy,1,1,seasonal_naive_daily,18,3850,3.50831,0.957657
occupancy,1,1,seasonal_naive_daily,19,3850,3.20909,0.900747
occupancy,1,1,seasonal_naive_daily,20,3850,3.05169,0.887502
occupancy,1,1,seasonal_naive_daily,21,3850,2.99026,0.869724
occupancy,1,1,seasonal_naive_daily,22,3850,2.95143,0.866981
occupancy,1,1,seasonal_naive_daily,23,3850,3.06779,0.886167
occupancy,1,1,seasonal_naive_weekly,0,3850,4.57935,1.2186
occupancy,1,1,seasonal_naive_weekly,1,3850,3.58792,1.02782
occupancy,1,1,seasonal_naive_weekly,2,3850,3.57195,1.02146
occupancy,1,1,seasonal_naive_weekly,3,3850,3.56013,1.02451
occupancy,1,1,seasonal_naive_weekly,4,3850,3.53662,1.01085
occupancy,1,1,seasonal_naive_weekly,5,3850,3.5713,1.01714
occupancy,1,1,seasonal_naive_weekly,6,3850,3.60688,1.02032
occupancy,1,1,seasonal_naive_weekly,7,3850,3.59026,1.00946
occupancy,1,1,seasonal_naive_weekly,8,3850,3.55818,0.983378
occupancy,1,1,seasonal_naive_weekly,9,3850,3.53039,0.992998
occupancy,1,1,seasonal_naive_weekly,10,3850,3.41039,0.980997
occupancy,1,1,seasonal_naive_weekly,11,3850,3.3487,0.959965
occupancy,1,1,seasonal_naive_weekly,12,3850,3.43442,0.981113
occupancy,1,1,seasonal_naive_weekly,13,3850,3.69909,1.02213
occupancy,1,1,seasonal_naive_weekly,14,3850,3.38377,0.970191
occupancy,1,1,seasonal_naive_weekly,15,3850,3.48857,0.985389
occupancy,1,1,seasonal_naive_weekly,16,3850,3.57286,0.982294
occupancy,1,1,seasonal_naive_weekly,17,3850,3.35325,0.956257
occupancy,1,1,seasonal_naive_weekly,18,3850,3.40636,0.973906
occupancy,1,1,seasonal_naive_weekly,19,3850,3.39338,0.982357
occupancy,1,1,seasonal_naive_weekly,20,3850,3.43,1.00679
occupancy,1,1,seasonal_naive_weekly,21,3850,3.4261,0.998914
occupancy,1,1,seasonal_naive_weekly,22,3850,3.41909,0.995078
occupancy,1,1,seasonal_naive_weekly,23,3850,3.50312,1.00985
occupancy,1,1,autoregressive,0,3850,1.5833,0.396994
occupancy,1,1,autoregressive,1,3850,1.63844,0.392734
occupancy,1,1,autoregressive,2,3850,1.14748,0.2863
occupancy,1,1,autoregressive,3,3850,1.03053,0.259407
occupancy,1,1,autoregressive,4,3850,0.991151,0.245861
occupancy,1,1,autoregressive,5,3850,1.01816,0.249075
occupancy,1,1,autoregressive,6,3850,1.32954,0.30007
occupancy,1,1,autoregressive,7,3850,1.62619,0.37143
occupancy,1,1,autoregressive,8,3850,2.90705,0.657033
occupancy,1,1,autoregressive,9,3850,2.57795,0.686168
occupancy,1,1,autoregressive,10,3850,2.05422,0.563003
occupancy,1,1,autoregressive,11,3850,1.71119,0.463663
occupancy,1,1,autoregressive,12,3850,1.6069,0.427403
occupancy,1,1,autoregressive,13,3850,1.75334,0.447857
occupancy,1,1,autoregressive,14,3850,1.54428,0.404314
occupancy,1,1,autoregressive,15,3850,1.50014,0.401558
occupancy,1,1,autoregressive,16,3850,1.59921,0.410624
occupancy,1,1,autoregressive,17,3850,1.52246,0.41672
occupancy,1,1,autoregressive,18,3850,1.69535,0.473706
occupancy,1,1,autoregressive,19,3850,2.04081,0.543829
occupancy,1,1,autoregressive,20,3850,1.83414,0.498709
occupancy,1,1,autoregressive,21,3850,1.60774,0.4369
occupancy,1,1,autoregressive,22,3850,1.53943,0.416623
occupancy,1,1,autoregressive,23,3850,1.42629,0.381824
occupancy,1,1,zone_ridge,0,3850,1.7252,0.426216
occupancy,1,1,zone_ridge,1,3850,1.55375,0.382584
occupancy,1,1,zone_ridge,2,3850,1.2865,0.318975
occupancy,1,1,zone_ridge,3,3850,1.19024,0.297598
occupancy,1,1,zone_ridge,4,3850,1.12218,0.279644
occupancy,1,1,zone_ridge,5,3850,1.16986,0.289598
occupancy,1,1,zone_ridge,6,3850,1.32767,0.318424
occupancy,1,1,zone_ridge,7,3850,1.52734,0.368092
occupancy,1,1,zone_ridge,8,3850,2.67927,0.616044
occupancy,1,1,zone_ridge,9,3850,2.38829,0.642529
occupancy,1,1,zone_ridge,10,3850,1.97045,0.554483
occupancy,1,1,zone_ridge,11,3850,1.69413,0.475032
occupancy,1,1,zone_ridge,12,3850,1.66039,0.449071
occupancy,1,1,zone_ridge,13,3850,1.84537,0.473714
occupancy,1,1,zone_ridge,14,3850,1.60767,0.42418
occupancy,1,1,zone_ridge,15,3850,1.58291,0.425541
occupancy,1,1,zone_ridge,16,3850,1.6949,0.432125
occupancy,1,1,zone_ridge,17,3850,1.60681,0.434542
occupancy,1,1,zone_ridge,18,3850,1.7548,0.489493
occupancy,1,1,zone_ridge,19,3850,2.04841,0.550985
occupancy,1,1,zone_ridge,20,3850,2.01019,0.527522
occupancy,1,1,zone_ridge,21,3850,1.74936,0.461581
occupancy,1,1,zone_ridge,22,3850,1.62501,0.432949
occupancy,1,1,zone_ridge,23,3850,1.57373,0.409162
occupancy,1,1,zone_gbm,0,3850,1.87196,0.466003
occupancy,1,1,zone_gbm,1,3850,1.59578,0.410211
occupancy,1,1,zone_gbm,2,3850,1.39143,0.358978
occupancy,1,1,zone_gbm,3,3850,1.31421,0.333579
occupancy,1,1,zone_gbm,4,3850,1.24423,0.314354
occupancy,1,1,zone_gbm,5,3850,1.19529,0.305337
occupancy,1,1,zone_gbm,6,3850,1.25198,0.314102
occupancy,1,1,zone_gbm,7,3850,1.60032,0.395124
occupancy,1,1,zone_gbm,8,3850,2.36057,0.588009
occupancy,1,1,zone_gbm,9,3850,2.16213,0.608944
occupancy,1,1,zone_gbm,10,3850,1.94332,0.554962
occupancy,1,1,zone_gbm,11,3850,1.77121,0.499999
occupancy,1,1,zone_gbm,12,3850,1.70912,0.471733
occupancy,1,1,zone_gbm,13,3850,1.90601,0.499683
occupancy,1,1,zone_gbm,14,3850,1.69898,0.458849
occupancy,1,1,zone_gbm,15,3850,1.66377,0.455061
occupancy,1,1,zone_gbm,16,3850,1.77523,0.465363
occupancy,1,1,zone_gbm,17,3850,1.67896,0.462962
occupancy,1,1,zone_gbm,18,3850,1.82241,0.512772
occupancy,1,1,zone_gbm,19,3850,2.02064,0.558131
occupancy,1,1,zone_gbm,20,3850,1.94751,0.534746
occupancy,1,1,zone_gbm,21,3850,1.76898,0.489008
occupancy,1,1,zone_gbm,22,3850,1.71649,0.468488
occupancy,1,1,zone_gbm,23,3850,1.65811,0.448009
occupancy,1,1,global_ridge,0,3850,1.88305,0.5239
occupancy,1,1,global_ridge,1,3850,1.91882,0.500127
occupancy,1,1,global_ridge,2,3850,1.41346,0.399925
occupancy,1,1,global_ridge,3,3850,1.32148,0.357754
occupancy,1,1,global_ridge,4,3850,1.1905,0.322709
occupancy,1,1,global_ridge,5,3850,1.15848,0.316025
occupancy,1,1,global_ridge,6,3850,1.28147,0.351209
occupancy,1,1,global_ridge,7,3850,1.63897,0.422092
occupancy,1,1,global_ridge,8,3850,2.83905,0.653162
occupancy,1,1,global_ridge,9,3850,2.85924,0.750167
occupancy,1,1,global_ridge,10,3850,2.28438,0.653516
occupancy,1,1,global_ridge,11,3850,1.81309,0.550036
occupancy,1,1,global_ridge,12,3850,1.73494,0.496518
occupancy,1,1,global_ridge,13,3850,2.00232,0.534379
occupancy,1,1,global_ridge,14,3850,1.75429,0.469315
occupancy,1,1,global_ridge,15,3850,1.62877,0.444475
occupancy,1,1,global_ridge,16,3850,1.67668,0.4422
occupancy,1,1,global_ridge,17,3850,1.61864,0.451203
occupancy,1,1,global_ridge,18,3850,1.68321,0.48573
occupancy,1,1,global_ridge,19,3850,2.15713,0.587064
occupancy,1,1,global_ridge,20,3850,2.14825,0.570017
occupancy,1,1,global_ridge,21,3850,1.90244,0.515175
occupancy,1,1,global_ridge,22,3850,1.81307,0.507415
occupancy,1,1,global_ridge,23,3850,1.60343,0.462514
occupancy,1,1,global_gbm,0,3850,2.20745,0.55787
occupancy,1,1,global_gbm,1,3850,2.11836,0.569887
occupancy,1,1,global_gbm,2,3850,1.34416,0.320843
occupancy,1,1,global_gbm,3,3850,1.32355,0.313667
occupancy,1,1,global_gbm,4,3850,1.23151,0.287394
occupancy,1,1,global_gbm,5,3850,1.19709,0.276171
occupancy,1,1,global_gbm,6,3850,1.30976,0.294259
occupancy,1,1,global_gbm,7,3850,1.61003,0.364873
occupancy,1,1,global_gbm,8,3850,2.32943,0.581328
occupancy,1,1,global_gbm,9,3850,2.46833,0.683743
occupancy,1,1,global_gbm,10,3850,1.97564,0.552447
occupancy,1,1,global_gbm,11,3850,1.7621,0.477564
occupancy,1,1,global_gbm,12,3850,1.72721,0.457815
occupancy,1,1,global_gbm,13,3850,1.90931,0.482695
occupancy,1,1,global_gbm,14,3850,1.60572,0.422884
occupancy,1,1,global_gbm,15,3850,1.52348,0.413494
occupancy,1,1,global_gbm,16,3850,1.55715,0.409794
occupancy,1,1,global_gbm,17,3850,1.49364,0.418343
occupancy,1,1,global_gbm,18,3850,1.71302,0.480481
occupancy,1,1,global_gbm,19,3850,2.19387,0.586021
occupancy,1,1,global_gbm,20,3850,2.00794,0.532596
occupancy,1,1,global_gbm,21,3850,1.79906,0.468951
occupancy,1,1,global_gbm,22,3850,1.67059,0.440982
occupancy,1,1,global_gbm,23,3850,1.57662,0.406108
occupancy,1,2,last_observation,0,3850,1.46156,0.33091
occupancy,1,2,last_observation,1,3850,1.90701,0.376222
occupancy,1,2,last_observation,2,3850,0.911948,0.182754
occupancy,1,2,last_observation,3,3850,0.755584,0.153837
occupancy,1,2,last_observation,4,3850,0.591169,0.115409
occupancy,1,2,last_observation,5,3850,0.607792,0.116038
occupancy,1,2,last_observation,6,3850,0.842078,0.159922
occupancy,1,2,last_observation,7,3850,1.45455,0.288372
occupancy,1,2,last_observation,8,3850,3.77558,0.790169
occupancy,1,2,last_observation,9,3850,3.55584,0.823562
occupancy,1,2,last_observation,10,3850,3.11701,0.719781
occupancy,1,2,last_observation,11,3850,2.52429,0.587154
occupancy,1,2,last_observation,12,3850,2.44234,0.598531
occupancy,1,2,last_observation,13,3850,2.7926,0.638272
occupancy,1,2,last_observation,14,3850,2.91065,0.685119
occupancy,1,2,last_observation,15,3850,1.83442,0.460895
occupancy,1,2,last_observation,16,3850,1.24208,0.309638
occupancy,1,2,last_observation,17,3850,1.35662,0.347926
occupancy,1,2,last_observation,18,3850,1.77636,0.446483
occupancy,1,2,last_observation,19,3850,2.81117,0.650422
occupancy,1,2,last_observation,20,3850,2.92636,0.635947
occupancy,1,2,last_observation,21,3850,1.98299,0.447257
occupancy,1,2,last_observation,22,3850,1.66052,0.387697
occupancy,1,2,last_observation,23,3850,1.29922,0.312185
occupancy,1,2,seasonal_naive_daily,0,3850,3.39039,0.934935
occupancy,1,2,seasonal_naive_daily,1,3850,3.10156,0.87943
occupancy,1,2,seasonal_naive_daily,2,3850,3.01117,0.862747
occupancy,1,2,seasonal_naive_daily,3,3850,2.98805,0.85692
occupancy,1,2,seasonal_naive_daily,4,3850,2.99896,0.847121
occupancy,1,2,seasonal_naive_daily,5,3850,3.09896,0.869864
occupancy,1,2,seasonal_naive_daily,6,3850,3.08597,0.866739
occupancy,1,2,seasonal_naive_daily,7,3850,3.10649,0.861352
occupancy,1,2,seasonal_naive_daily,8,3850,3.70831,0.953637
occupancy,1,2,seasonal_naive_daily,9,3850,3.8813,1.01519
occupancy,1,2,seasonal_naive_daily,10,3850,5.69766,1.4093
occupancy,1,2,seasonal_naive_daily,11,3850,4.17221,1.12409
occupancy,1,2,seasonal_naive_daily,12,3850,5.38987,1.36627
occupancy,1,2,seasonal_naive_daily,13,3850,5.95455,1.44949
occupancy,1,2,seasonal_naive_daily,14,3850,4.21818,1.13624
occupancy,1,2,seasonal_naive_daily,15,3850,3.80208,1.01136
occupancy,1,2,seasonal_naive_daily,16,3850,3.71377,1.01265
occupancy,1,2,seasonal_naive_daily,17,3850,3.7374,1.00574
occupancy,1,2,seasonal_naive_daily,18,3850,3.65351,0.988083
occupancy,1,2,seasonal_naive_daily,19,3850,3.4587,0.942325
occupancy,1,2,seasonal_naive_daily,20,3850,3.20117,0.896838
occupancy,1,2,seasonal_naive_daily,21,3850,3.11299,0.885791
occupancy,1,2,seasonal_naive_daily,22,3850,2.96156,0.857557
occupancy,1,2,seasonal_naive_daily,23,3850,2.99221,0.855627
occupancy,1,2,seasonal_naive_weekly,0,3850,4.01896,1.12679
occupancy,1,2,seasonal_naive_weekly,1,3850,3.88052,1.10062
occupancy,1,2,seasonal_naive_weekly,2,3850,3.74351,1.07595
occupancy,1,2,seasonal_naive_weekly,3,3850,3.77727,1.07915
occupancy,1,2,seasonal_naive_weekly,4,3850,3.7113,1.06836
occupancy,1,2,seasonal_naive_weekly,5,3850,3.85,1.08742
